Datum,MonatlicheDurchschnittsTemperatur
1880-01-01,-24.803
1880-02-01,-17.659
1880-03-01,-5.662
1880-04-01,-0.104
1880-05-01,9.866
1880-06-01,16.202
1880-07-01,18.04
1880-08-01,16.288
1880-09-01,5.622
1880-10-01,-1.048
1880-11-01,-4.355
1880-12-01,-16.495
1881-01-01,-15.903
1881-02-01,-21.375
1881-03-01,-8.755
1881-04-01,2.65
1881-05-01,7.355
1881-06-01,14.3
1881-07-01,18.53
1881-08-01,15.331
1881-09-01,7.855
1881-10-01,-0.413
1881-11-01,-11.938
1881-12-01,-20.957
1882-01-01,-16.634
1882-02-01,-13.438
1882-03-01,-5.158
1882-04-01,1.026
1882-05-01,9.402
1882-06-01,13.984
1882-07-01,17.969
1882-08-01,16.124
1882-09-01,8.006
1882-10-01,-4.302
1882-11-01,-13.212
1882-12-01,-26.769
1883-01-01,-20.39
1883-02-01,-20.637
1883-03-01,-6.232
1883-04-01,-1.247
1883-05-01,6.008
1883-06-01,13.319
1883-07-01,17.664
1883-08-01,14.017
1883-09-01,7.057
1883-10-01,1.328
1883-11-01,-14.654
1883-12-01,-14.356
1884-01-01,-17.624
1884-02-01,-16.839
1884-03-01,-13.606
1884-04-01,-1.931
1884-05-01,11.456
1884-06-01,13.162
1884-07-01,18.855
1884-08-01,14.463
1884-09-01,8.089
1884-10-01,0.872
1884-11-01,-10.799
1884-12-01,-15.604
1885-01-01,-21.863
1885-02-01,-20.387
1885-03-01,-9.843
1885-04-01,0.594
1885-05-01,7.606
1885-06-01,17.7
1885-07-01,17.068
1885-08-01,13.88
1885-09-01,8.419
1885-10-01,-1.045
1885-11-01,-10.783
1885-12-01,-12.501
1886-01-01,-16.93
1886-02-01,-24.515
1886-03-01,-10.812
1886-04-01,0.455
1886-05-01,8.406
1886-06-01,14.514
1886-07-01,19.648
1886-08-01,16.28
1886-09-01,11.224
1886-10-01,-2.557
1886-11-01,-13.67
1886-12-01,-12.183
1887-01-01,-25.891
1887-02-01,-16.356
1887-03-01,-7.699
1887-04-01,2.414
1887-05-01,8.253
1887-06-01,15.353
1887-07-01,20.473
1887-08-01,14.043
1887-09-01,7.556
1887-10-01,1.325
1887-11-01,-6.265
1887-12-01,-16.756
1888-01-01,-20.686
1888-02-01,-21.16
1888-03-01,-8.723
1888-04-01,-1.459
1888-05-01,9.515
1888-06-01,17.801
1888-07-01,19.697
1888-08-01,16.657
1888-09-01,9.281
1888-10-01,-0.317
1888-11-01,-9.586
1888-12-01,-18.275
1889-01-01,-26.727
1889-02-01,-17.534
1889-03-01,-8.534
1889-04-01,1.782
1889-05-01,6.703
1889-06-01,15.676
1889-07-01,17.875
1889-08-01,15.067
1889-09-01,8.093
1889-10-01,-3.891
1889-11-01,-14.057
1889-12-01,-19.922
1890-01-01,-20.132
1890-02-01,-16.786
1890-03-01,-11.475
1890-04-01,-0.551
1890-05-01,6.521
1890-06-01,13.866
1890-07-01,17.768
1890-08-01,15.172
1890-09-01,7.07
1890-10-01,2.527
1890-11-01,-14.171
1890-12-01,-17.234
1891-01-01,-23.359
1891-02-01,-16.605
1891-03-01,-8.428
1891-04-01,-1.3
1891-05-01,8.446
1891-06-01,14.441
1891-07-01,18.748
1891-08-01,16.816
1891-09-01,8.558
1891-10-01,-0.729
1891-11-01,-11.753
1891-12-01,-16.049
1892-01-01,-22.48
1892-02-01,-23.297
1892-03-01,-15.901
1892-04-01,-0.308
1892-05-01,10.84
1892-06-01,17.723
1892-07-01,19.487
1892-08-01,16.504
1892-09-01,9.048
1892-10-01,0.761
1892-11-01,-16.669
1892-12-01,-19.219
1893-01-01,-31.138
1893-02-01,-19.569
1893-03-01,-4.247
1893-04-01,6.548
1893-05-01,8.154
1893-06-01,16.627
1893-07-01,18.948
1893-08-01,16.155
1893-09-01,9.114
1893-10-01,1.331
1893-11-01,-5.315
1893-12-01,-17.039
1894-01-01,-18.972
1894-02-01,-10.55
1894-03-01,-5.721
1894-04-01,-1.778
1894-05-01,8.074
1894-06-01,14.423
1894-07-01,18.708
1894-08-01,15.201
1894-09-01,9.115
1894-10-01,0.56
1894-11-01,-10.906
1894-12-01,-19.732
1895-01-01,-25.961
1895-02-01,-22.002
1895-03-01,-11.262
1895-04-01,0.641
1895-05-01,8.948
1895-06-01,13.852
1895-07-01,20.835
1895-08-01,15.781
1895-09-01,10.496
1895-10-01,-0.651
1895-11-01,-7.95
1895-12-01,-20.351
1896-01-01,-21.925
1896-02-01,-18.307
1896-03-01,-14.3
1896-04-01,0.428
1896-05-01,9.513
1896-06-01,18.63
1896-07-01,19.152
1896-08-01,15.915
1896-09-01,8.933
1896-10-01,1.363
1896-11-01,-8.018
1896-12-01,-19.411
1897-01-01,-22.432
1897-02-01,-20.4
1897-03-01,-16.051
1897-04-01,1.236
1897-05-01,5.959
1897-06-01,16.012
1897-07-01,18.851
1897-08-01,15.465
1897-09-01,7.535
1897-10-01,0.89
1897-11-01,-10.101
1897-12-01,-19.114
1898-01-01,-14.454
1898-02-01,-22.854
1898-03-01,-18.115
1898-04-01,-0.534
1898-05-01,5.219
1898-06-01,16.651
1898-07-01,18.696
1898-08-01,16.092
1898-09-01,8.097
1898-10-01,1.021
1898-11-01,-6.045
1898-12-01,-10.45
1899-01-01,-16.001
1899-02-01,-18.74
1899-03-01,-7.956
1899-04-01,1.617
1899-05-01,10.566
1899-06-01,15.351
1899-07-01,16.224
1899-08-01,15.575
1899-09-01,8.585
1899-10-01,1.269
1899-11-01,-6.993
1899-12-01,-22.572
1900-01-01,-29.54
1900-02-01,-16.797
1900-03-01,-8.71
1900-04-01,0.332
1900-05-01,10.919
1900-06-01,17.661
1900-07-01,19.695
1900-08-01,16.977
1900-09-01,11.267
1900-10-01,1.007
1900-11-01,-12.361
1900-12-01,-18.651
1901-01-01,-20.111
1901-02-01,-17.233
1901-03-01,-5.733
1901-04-01,1.614
1901-05-01,9.708
1901-06-01,17.259
1901-07-01,19.568
1901-08-01,17.274
1901-09-01,9.728
1901-10-01,-3.982
1901-11-01,-6.111
1901-12-01,-25.311
1902-01-01,-16.215
1902-02-01,-13.018
1902-03-01,-7.117
1902-04-01,-0.749
1902-05-01,7.082
1902-06-01,14.553
1902-07-01,17.529
1902-08-01,15.61
1902-09-01,10.147
1902-10-01,0.233
1902-11-01,-11.082
1902-12-01,-19.842
1903-01-01,-20.65
1903-02-01,-12.397
1903-03-01,-8.91
1903-04-01,-0.591
1903-05-01,7.591
1903-06-01,13.072
1903-07-01,18.001
1903-08-01,14.023
1903-09-01,7.973
1903-10-01,-3.135
1903-11-01,-11.01
1903-12-01,-17.433
1904-01-01,-19.096
1904-02-01,-13.72
1904-03-01,-12.023
1904-04-01,-3.109
1904-05-01,10.967
1904-06-01,17.025
1904-07-01,18.037
1904-08-01,15.834
1904-09-01,7.712
1904-10-01,0.143
1904-11-01,-5.363
1904-12-01,-13.96
1905-01-01,-15.266
1905-02-01,-21.549
1905-03-01,-13.698
1905-04-01,-2.216
1905-05-01,8.091
1905-06-01,13.951
1905-07-01,20.381
1905-08-01,16.325
1905-09-01,8.133
1905-10-01,0.191
1905-11-01,-8.656
1905-12-01,-17.177
1906-01-01,-23.141
1906-02-01,-23.749
1906-03-01,-4.984
1906-04-01,4.457
1906-05-01,6.424
1906-06-01,15.703
1906-07-01,15.866
1906-08-01,17.653
1906-09-01,8.658
1906-10-01,-0.734
1906-11-01,-14.022
1906-12-01,-14.838
1907-01-01,-21.689
1907-02-01,-20.847
1907-03-01,-8.972
1907-04-01,2.403
1907-05-01,10.31
1907-06-01,14.18
1907-07-01,14.993
1907-08-01,16.354
1907-09-01,9.96
1907-10-01,-0.157
1907-11-01,-14.23
1907-12-01,-18.283
1908-01-01,-20.265
1908-02-01,-20.49
1908-03-01,-11.809
1908-04-01,-0.264
1908-05-01,12.769
1908-06-01,15.613
1908-07-01,18.409
1908-08-01,16.853
1908-09-01,9.323
1908-10-01,-0.38
1908-11-01,-10.395
1908-12-01,-15.132
1909-01-01,-21.092
1909-02-01,-19.27
1909-03-01,-14.798
1909-04-01,2.345
1909-05-01,8.276
1909-06-01,15.894
1909-07-01,20.194
1909-08-01,17.398
1909-09-01,6.855
1909-10-01,-3.157
1909-11-01,-7.747
1909-12-01,-19.301
1910-01-01,-23.695
1910-02-01,-20.414
1910-03-01,-12.564
1910-04-01,0.335
1910-05-01,10.121
1910-06-01,15.399
1910-07-01,19.51
1910-08-01,17.067
1910-09-01,7.811
1910-10-01,-0.066
1910-11-01,-15.853
1910-12-01,-18.336
1911-01-01,-19.939
1911-02-01,-17.735
1911-03-01,-10.951
1911-04-01,3.117
1911-05-01,7.853
1911-06-01,15.664
1911-07-01,19.185
1911-08-01,15.227
1911-09-01,8.689
1911-10-01,1.972
1911-11-01,-6.043
1911-12-01,-20.218
