Datum,MonatlicheDurchschnittsTemperatur
1880-01-01,23.773
1880-02-01,25.071
1880-03-01,26.679
1880-04-01,27.278
1880-05-01,28.069
1880-06-01,26.848
1880-07-01,26.339
1880-08-01,25.802
1880-09-01,26.13
1880-10-01,26.077
1880-11-01,24.761
1880-12-01,23.46
1881-01-01,24.047
1881-02-01,25.853
1881-03-01,25.754
1881-04-01,27.908
1881-05-01,27.813
1881-06-01,26.365
1881-07-01,25.764
1881-08-01,25.469
1881-09-01,26.125
1881-10-01,25.686
1881-11-01,25.327
1881-12-01,24.639
1882-01-01,25.257
1882-02-01,25.042
1882-03-01,26.515
1882-04-01,27.755
1882-05-01,28.032
1882-06-01,26.679
1882-07-01,25.813
1882-08-01,25.736
1882-09-01,26.478
1882-10-01,26.341
1882-11-01,24.979
1882-12-01,23.749
1883-01-01,24.07
1883-02-01,24.627
1883-03-01,26.321
1883-04-01,28.092
1883-05-01,28.474
1883-06-01,27.024
1883-07-01,26.472
1883-08-01,25.578
1883-09-01,25.71
1883-10-01,25.974
1883-11-01,25.019
1883-12-01,23.763
1884-01-01,24.997
1884-02-01,24.359
1884-03-01,26.102
1884-04-01,26.494
1884-05-01,26.781
1884-06-01,25.911
1884-07-01,25.88
1884-08-01,25.646
1884-09-01,25.546
1884-10-01,25.685
1884-11-01,24.353
1884-12-01,23.513
1885-01-01,24.085
1885-02-01,23.732
1885-03-01,25.986
1885-04-01,28.162
1885-05-01,28.397
1885-06-01,26.922
1885-07-01,26.094
1885-08-01,25.386
1885-09-01,25.528
1885-10-01,25.374
1885-11-01,24.854
1885-12-01,24.745
1886-01-01,23.217
1886-02-01,22.794
1886-03-01,25.921
1886-04-01,27.441
1886-05-01,27.585
1886-06-01,26.451
1886-07-01,26.088
1886-08-01,25.724
1886-09-01,25.907
1886-10-01,26.169
1886-11-01,24.903
1886-12-01,23.015
1887-01-01,23.67
1887-02-01,23.674
1887-03-01,25.691
1887-04-01,27.065
1887-05-01,27.439
1887-06-01,26.872
1887-07-01,26.133
1887-08-01,25.316
1887-09-01,26.325
1887-10-01,25.587
1887-11-01,25.175
1887-12-01,24.306
1888-01-01,24.741
1888-02-01,23.889
1888-03-01,26.917
1888-04-01,28.71
1888-05-01,28.37
1888-06-01,26.972
1888-07-01,26.875
1888-08-01,26.113
1888-09-01,26.256
1888-10-01,26.031
1888-11-01,25.879
1888-12-01,25.011
1889-01-01,24.014
1889-02-01,25.016
1889-03-01,27.105
1889-04-01,28.481
1889-05-01,28.854
1889-06-01,27.789
1889-07-01,26.687
1889-08-01,25.759
1889-09-01,25.926
1889-10-01,26.296
1889-11-01,24.886
1889-12-01,24.128
1890-01-01,24.01
1890-02-01,25.527
1890-03-01,26.022
1890-04-01,28.311
1890-05-01,27.828
1890-06-01,26.632
1890-07-01,26.177
1890-08-01,25.416
1890-09-01,25.46
1890-10-01,25.581
1890-11-01,25.0
1890-12-01,25.33
1891-01-01,25.314
1891-02-01,24.588
1891-03-01,25.59
1891-04-01,27.085
1891-05-01,27.992
1891-06-01,26.867
1891-07-01,26.086
1891-08-01,25.682
1891-09-01,26.193
1891-10-01,26.47
1891-11-01,25.159
1891-12-01,24.626
1892-01-01,24.304
1892-02-01,25.472
1892-03-01,26.038
1892-04-01,27.418
1892-05-01,27.74
1892-06-01,26.809
1892-07-01,25.828
1892-08-01,25.476
1892-09-01,25.749
1892-10-01,25.7
1892-11-01,25.16
1892-12-01,23.298
1893-01-01,23.571
1893-02-01,23.751
1893-03-01,26.071
1893-04-01,27.618
1893-05-01,27.084
1893-06-01,27.204
1893-07-01,26.086
1893-08-01,25.961
1893-09-01,26.153
1893-10-01,25.819
1893-11-01,24.974
1893-12-01,24.471
1894-01-01,24.226
1894-02-01,25.033
1894-03-01,26.276
1894-04-01,27.579
1894-05-01,27.922
1894-06-01,26.753
1894-07-01,25.583
1894-08-01,25.595
1894-09-01,26.091
1894-10-01,25.681
1894-11-01,25.282
1894-12-01,24.438
1895-01-01,23.808
1895-02-01,25.316
1895-03-01,26.003
1895-04-01,27.979
1895-05-01,27.757
1895-06-01,27.056
1895-07-01,26.109
1895-08-01,25.549
1895-09-01,26.211
1895-10-01,25.543
1895-11-01,24.795
1895-12-01,24.354
1896-01-01,24.292
1896-02-01,24.434
1896-03-01,25.839
1896-04-01,28.173
1896-05-01,27.287
1896-06-01,26.963
1896-07-01,26.312
1896-08-01,26.167
1896-09-01,26.24
1896-10-01,26.152
1896-11-01,25.901
1896-12-01,24.635
1897-01-01,26.059
1897-02-01,25.22
1897-03-01,27.536
1897-04-01,28.051
1897-05-01,28.822
1897-06-01,27.412
1897-07-01,26.331
1897-08-01,25.81
1897-09-01,26.528
1897-10-01,26.118
1897-11-01,25.825
1897-12-01,24.771
1898-01-01,24.477
1898-02-01,25.916
1898-03-01,26.83
1898-04-01,27.854
1898-05-01,28.652
1898-06-01,27.015
1898-07-01,25.992
1898-08-01,26.047
1898-09-01,26.169
1898-10-01,25.882
1898-11-01,25.393
1898-12-01,24.072
1899-01-01,24.233
1899-02-01,24.525
1899-03-01,25.965
1899-04-01,27.848
1899-05-01,28.024
1899-06-01,26.262
1899-07-01,26.431
1899-08-01,25.641
1899-09-01,26.197
1899-10-01,25.344
1899-11-01,24.983
1899-12-01,25.618
1900-01-01,24.281
1900-02-01,24.771
1900-03-01,26.839
1900-04-01,28.452
1900-05-01,28.125
1900-06-01,26.969
1900-07-01,26.344
1900-08-01,26.228
1900-09-01,26.172
1900-10-01,26.117
1900-11-01,25.341
1900-12-01,24.833
1901-01-01,25.638
1901-02-01,23.276
1901-03-01,26.182
1901-04-01,28.353
1901-05-01,28.255
1901-06-01,27.321
1901-07-01,26.494
1901-08-01,25.466
1901-09-01,25.897
1901-10-01,25.673
1901-11-01,25.07
1901-12-01,24.229
1902-01-01,24.571
1902-02-01,23.878
1902-03-01,27.221
1902-04-01,28.242
1902-05-01,28.127
1902-06-01,26.959
1902-07-01,26.465
1902-08-01,25.978
1902-09-01,25.928
1902-10-01,25.469
1902-11-01,25.965
1902-12-01,25.052
1903-01-01,24.626
1903-02-01,24.494
1903-03-01,26.397
1903-04-01,27.903
1903-05-01,28.526
1903-06-01,28.326
1903-07-01,26.814
1903-08-01,26.559
1903-09-01,26.712
1903-10-01,26.229
1903-11-01,25.408
1903-12-01,24.336
1904-01-01,24.34
1904-02-01,24.487
1904-03-01,26.093
1904-04-01,27.212
1904-05-01,27.606
1904-06-01,26.503
1904-07-01,25.879
1904-08-01,26.015
1904-09-01,26.091
1904-10-01,25.969
1904-11-01,25.005
1904-12-01,24.118
1905-01-01,24.322
1905-02-01,24.284
1905-03-01,26.465
1905-04-01,27.705
1905-05-01,28.079
1905-06-01,26.762
1905-07-01,25.785
1905-08-01,26.114
1905-09-01,25.741
1905-10-01,26.129
1905-11-01,24.617
1905-12-01,25.193
1906-01-01,24.753
1906-02-01,25.454
1906-03-01,26.359
1906-04-01,28.058
1906-05-01,27.623
1906-06-01,27.401
1906-07-01,26.677
1906-08-01,26.47
1906-09-01,25.848
1906-10-01,25.427
1906-11-01,24.675
1906-12-01,24.792
1907-01-01,24.181
1907-02-01,24.818
1907-03-01,26.494
1907-04-01,27.517
1907-05-01,28.521
1907-06-01,27.418
1907-07-01,26.554
1907-08-01,25.621
1907-09-01,26.052
1907-10-01,26.371
1907-11-01,26.281
1907-12-01,24.797
1908-01-01,25.035
1908-02-01,25.345
1908-03-01,26.27
1908-04-01,28.248
1908-05-01,27.858
1908-06-01,27.397
1908-07-01,26.305
1908-08-01,26.175
1908-09-01,26.749
1908-10-01,25.969
1908-11-01,25.069
1908-12-01,24.964
1909-01-01,24.691
1909-02-01,25.318
1909-03-01,26.467
1909-04-01,27.897
1909-05-01,28.169
1909-06-01,27.576
1909-07-01,26.035
1909-08-01,26.897
1909-09-01,26.491
1909-10-01,26.358
1909-11-01,25.729
1909-12-01,24.326
1910-01-01,24.449
1910-02-01,25.627
1910-03-01,26.548
1910-04-01,27.651
1910-05-01,27.612
1910-06-01,27.534
1910-07-01,26.653
1910-08-01,26.67
1910-09-01,26.155
1910-10-01,25.887
1910-11-01,25.447
1910-12-01,24.691
1911-01-01,24.8
1911-02-01,24.722
1911-03-01,25.967
1911-04-01,26.933
1911-05-01,27.645
1911-06-01,27.391
1911-07-01,25.773
1911-08-01,26.137
1911-09-01,26.357
1911-10-01,26.146
1911-11-01,25.336
1911-12-01,25.042
1912-01-01,24.793
1912-02-01,25.639
1912-03-01,27.1
1912-04-01,28.341
1912-05-01,29.172
1912-06-01,28.246
1912-07-01,26.63
1912-08-01,26.226
1912-09-01,26.202
1912-10-01,25.823
1912-11-01,25.715
1912-12-01,24.799
1913-01-01,24.793
1913-02-01,25.425
1913-03-01,26.996
1913-04-01,27.552
1913-05-01,27.81
1913-06-01,27.79
1913-07-01,26.342
1913-08-01,26.043
1913-09-01,26.036
1913-10-01,25.605
1913-11-01,25.338
1913-12-01,25.022
1914-01-01,24.165
1914-02-01,24.754
1914-03-01,27.253
1914-04-01,28.334
1914-05-01,28.911
1914-06-01,27.229
1914-07-01,26.686
1914-08-01,26.287
