Datum,MonatlicheDurchschnittsTemperatur
1880-01-01,-1.948
1880-02-01,0.551
1880-03-01,3.822
1880-04-01,9.729
1880-05-01,12.027
1880-06-01,16.717
1880-07-01,19.196
1880-08-01,18.12
1880-09-01,15.393
1880-10-01,7.944
1880-11-01,4.315
1880-12-01,3.152
1881-01-01,-5.92
1881-02-01,-0.464
1881-03-01,2.438
1881-04-01,5.61
1881-05-01,13.196
1881-06-01,16.118
1881-07-01,19.55
1881-08-01,16.917
1881-09-01,13.023
1881-10-01,5.71
1881-11-01,5.769
1881-12-01,1.04
1882-01-01,1.051
1882-02-01,2.551
1882-03-01,7.216
1882-04-01,8.481
1882-05-01,12.656
1882-06-01,15.342
1882-07-01,18.829
1882-08-01,16.418
1882-09-01,15.245
1882-10-01,9.035
1882-11-01,4.134
1882-12-01,0.447
1883-01-01,-0.704
1883-02-01,2.219
1883-03-01,-1.168
1883-04-01,5.961
1883-05-01,13.061
1883-06-01,17.401
1883-07-01,18.477
1883-08-01,17.075
1883-09-01,14.717
1883-10-01,9.453
1883-11-01,4.863
1883-12-01,1.127
1884-01-01,3.209
1884-02-01,3.458
1884-03-01,5.089
1884-04-01,6.149
1884-05-01,13.421
1884-06-01,14.41
1884-07-01,19.181
1884-08-01,17.582
1884-09-01,15.431
1884-10-01,8.517
1884-11-01,1.789
1884-12-01,2.138
1885-01-01,-2.586
1885-02-01,2.936
1885-03-01,3.37
1885-04-01,10.082
1885-05-01,11.417
1885-06-01,17.846
1885-07-01,18.526
1885-08-01,15.428
1885-09-01,13.773
1885-10-01,8.281
1885-11-01,2.505
1885-12-01,0.003
1886-01-01,-1.311
1886-02-01,-2.775
1886-03-01,0.426
1886-04-01,9.451
1886-05-01,13.561
1886-06-01,15.706
1886-07-01,17.658
1886-08-01,18.07
1886-09-01,15.809
1886-10-01,9.467
1886-11-01,5.549
1886-12-01,1.006
1887-01-01,-3.226
1887-02-01,-0.271
1887-03-01,2.172
1887-04-01,8.023
1887-05-01,11.455
1887-06-01,15.875
1887-07-01,19.724
1887-08-01,16.922
1887-09-01,13.955
1887-10-01,6.629
1887-11-01,4.081
