dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1743-11-01;6,326;1,601;Berlin;Germany;52.24N;13.14E
1743-12-01;;;Berlin;Germany;52.24N;13.14E
1744-01-01;;;Berlin;Germany;52.24N;13.14E
1744-02-01;;;Berlin;Germany;52.24N;13.14E
1744-03-01;;;Berlin;Germany;52.24N;13.14E
1744-04-01;9,536;2,761;Berlin;Germany;52.24N;13.14E
1744-05-01;12,579;1,223;Berlin;Germany;52.24N;13.14E
1744-06-01;14,809;1,398;Berlin;Germany;52.24N;13.14E
1744-07-01;17,275;1,348;Berlin;Germany;52.24N;13.14E
1744-08-01;;;Berlin;Germany;52.24N;13.14E
1744-09-01;14,119;1,447;Berlin;Germany;52.24N;13.14E
1744-10-01;9,425;1,501;Berlin;Germany;52.24N;13.14E
1744-11-01;4,797;1,209;Berlin;Germany;52.24N;13.14E
1744-12-01;0,342;1,561;Berlin;Germany;52.24N;13.14E
1745-01-01;-2,607;1,633;Berlin;Germany;52.24N;13.14E
1745-02-01;-1,44;1,256;Berlin;Germany;52.24N;13.14E
1745-03-01;2,378;1;Berlin;Germany;52.24N;13.14E
1745-04-01;7,375;1,024;Berlin;Germany;52.24N;13.14E
1745-05-01;;;Berlin;Germany;52.24N;13.14E
1745-06-01;;;Berlin;Germany;52.24N;13.14E
1745-07-01;;;Berlin;Germany;52.24N;13.14E
1745-08-01;;;Berlin;Germany;52.24N;13.14E
1745-09-01;;;Berlin;Germany;52.24N;13.14E
1745-10-01;;;Berlin;Germany;52.24N;13.14E
1745-11-01;;;Berlin;Germany;52.24N;13.14E
1745-12-01;;;Berlin;Germany;52.24N;13.14E
1746-01-01;;;Berlin;Germany;52.24N;13.14E
1746-02-01;;;Berlin;Germany;52.24N;13.14E
1746-03-01;;;Berlin;Germany;52.24N;13.14E
1746-04-01;;;Berlin;Germany;52.24N;13.14E
1746-05-01;;;Berlin;Germany;52.24N;13.14E
1746-06-01;;;Berlin;Germany;52.24N;13.14E
1746-07-01;;;Berlin;Germany;52.24N;13.14E
1746-08-01;;;Berlin;Germany;52.24N;13.14E
1746-09-01;;;Berlin;Germany;52.24N;13.14E
1746-10-01;;;Berlin;Germany;52.24N;13.14E
1746-11-01;;;Berlin;Germany;52.24N;13.14E
1746-12-01;;;Berlin;Germany;52.24N;13.14E
1747-01-01;;;Berlin;Germany;52.24N;13.14E
1747-02-01;;;Berlin;Germany;52.24N;13.14E
1747-03-01;;;Berlin;Germany;52.24N;13.14E
1747-04-01;;;Berlin;Germany;52.24N;13.14E
1747-05-01;;;Berlin;Germany;52.24N;13.14E
1747-06-01;;;Berlin;Germany;52.24N;13.14E
1747-07-01;;;Berlin;Germany;52.24N;13.14E
1747-08-01;;;Berlin;Germany;52.24N;13.14E
1747-09-01;;;Berlin;Germany;52.24N;13.14E
1747-10-01;;;Berlin;Germany;52.24N;13.14E
1747-11-01;;;Berlin;Germany;52.24N;13.14E
1747-12-01;;;Berlin;Germany;52.24N;13.14E
1748-01-01;;;Berlin;Germany;52.24N;13.14E
1748-02-01;;;Berlin;Germany;52.24N;13.14E
1748-03-01;;;Berlin;Germany;52.24N;13.14E
1748-04-01;;;Berlin;Germany;52.24N;13.14E
1748-05-01;;;Berlin;Germany;52.24N;13.14E
1748-06-01;;;Berlin;Germany;52.24N;13.14E
1748-07-01;;;Berlin;Germany;52.24N;13.14E
