dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1820-08-01;13,221;2,706;Abakan;Russia;53.84N;91.36E
1820-09-01;7,744;1,756;Abakan;Russia;53.84N;91.36E
1820-10-01;-1,771;1,837;Abakan;Russia;53.84N;91.36E
1820-11-01;-11,387;2,218;Abakan;Russia;53.84N;91.36E
1820-12-01;-19,725;2,549;Abakan;Russia;53.84N;91.36E
1821-01-01;-18,851;2,906;Abakan;Russia;53.84N;91.36E
1821-02-01;-15,036;3,292;Abakan;Russia;53.84N;91.36E
1821-03-01;-8,311;2,306;Abakan;Russia;53.84N;91.36E
1821-04-01;0,533;2,439;Abakan;Russia;53.84N;91.36E
1821-05-01;9,291;1,682;Abakan;Russia;53.84N;91.36E
1821-06-01;14,036;1,981;Abakan;Russia;53.84N;91.36E
1821-07-01;17,027;2,108;Abakan;Russia;53.84N;91.36E
1821-08-01;15,216;1,449;Abakan;Russia;53.84N;91.36E
1821-09-01;6,325;2,132;Abakan;Russia;53.84N;91.36E
1821-10-01;-1,065;1,916;Abakan;Russia;53.84N;91.36E
1821-11-01;-9,384;2,842;Abakan;Russia;53.84N;91.36E
1821-12-01;-18,136;2,668;Abakan;Russia;53.84N;91.36E
1822-01-01;-21,627;2,935;Abakan;Russia;53.84N;91.36E
1822-02-01;-16,328;2,552;Abakan;Russia;53.84N;91.36E
1822-03-01;-5,58;2,833;Abakan;Russia;53.84N;91.36E
1822-04-01;1,464;2,456;Abakan;Russia;53.84N;91.36E
1822-05-01;8,655;1,899;Abakan;Russia;53.84N;91.36E
1822-06-01;15,2;1,566;Abakan;Russia;53.84N;91.36E
1822-07-01;18,268;1,557;Abakan;Russia;53.84N;91.36E
1822-08-01;14,663;1,767;Abakan;Russia;53.84N;91.36E
1822-09-01;7,391;1,777;Abakan;Russia;53.84N;91.36E
1822-10-01;-1,182;1,98;Abakan;Russia;53.84N;91.36E
1822-11-01;-11,082;2,309;Abakan;Russia;53.84N;91.36E
1822-12-01;-19,707;3,137;Abakan;Russia;53.84N;91.36E
1823-01-01;-22,264;2,521;Abakan;Russia;53.84N;91.36E
1823-02-01;-18,706;2,702;Abakan;Russia;53.84N;91.36E
1823-03-01;-9,647;2,547;Abakan;Russia;53.84N;91.36E
1823-04-01;-0,124;2,613;Abakan;Russia;53.84N;91.36E
1823-05-01;8,445;2,022;Abakan;Russia;53.84N;91.36E
1823-06-01;16,226;2,22;Abakan;Russia;53.84N;91.36E
1823-07-01;18,182;1,661;Abakan;Russia;53.84N;91.36E
1823-08-01;14,334;1,779;Abakan;Russia;53.84N;91.36E
1823-09-01;6,542;1,598;Abakan;Russia;53.84N;91.36E
1823-10-01;-2,195;1,97;Abakan;Russia;53.84N;91.36E
1823-11-01;-10,289;2,299;Abakan;Russia;53.84N;91.36E
1823-12-01;-19,121;2,667;Abakan;Russia;53.84N;91.36E
1824-01-01;-21,009;2,48;Abakan;Russia;53.84N;91.36E
1824-02-01;-17,179;2,582;Abakan;Russia;53.84N;91.36E
1824-03-01;-8,821;2,376;Abakan;Russia;53.84N;91.36E
1824-04-01;1,434;2,865;Abakan;Russia;53.84N;91.36E
1824-05-01;9,772;2,399;Abakan;Russia;53.84N;91.36E
1824-06-01;15,468;3,068;Abakan;Russia;53.84N;91.36E
1824-07-01;18,63;3,01;Abakan;Russia;53.84N;91.36E
1824-08-01;14,989;1,616;Abakan;Russia;53.84N;91.36E
1824-09-01;7,624;1,927;Abakan;Russia;53.84N;91.36E
1824-10-01;-0,716;1,821;Abakan;Russia;53.84N;91.36E
1824-11-01;-8,762;2,154;Abakan;Russia;53.84N;91.36E
1824-12-01;-14,301;2,584;Abakan;Russia;53.84N;91.36E
1825-01-01;-18,95;2,715;Abakan;Russia;53.84N;91.36E
1825-02-01;-18,066;2,594;Abakan;Russia;53.84N;91.36E
1825-03-01;-9,527;2,351;Abakan;Russia;53.84N;91.36E
1825-04-01;1,36;2,555;Abakan;Russia;53.84N;91.36E
1825-05-01;9,725;2,133;Abakan;Russia;53.84N;91.36E
1825-06-01;16,782;1,724;Abakan;Russia;53.84N;91.36E
1825-07-01;17,09;1,845;Abakan;Russia;53.84N;91.36E
1825-08-01;14,257;1,71;Abakan;Russia;53.84N;91.36E
1825-09-01;7,212;1,745;Abakan;Russia;53.84N;91.36E
1825-10-01;-1,164;2,031;Abakan;Russia;53.84N;91.36E
1825-11-01;-7,867;2,86;Abakan;Russia;53.84N;91.36E
1825-12-01;-18,215;2,551;Abakan;Russia;53.84N;91.36E
1826-01-01;-21,727;2,562;Abakan;Russia;53.84N;91.36E
1826-02-01;-20,113;2,631;Abakan;Russia;53.84N;91.36E
1826-03-01;-9,915;2,461;Abakan;Russia;53.84N;91.36E
1826-04-01;1,065;2,883;Abakan;Russia;53.84N;91.36E
1826-05-01;10,121;1,77;Abakan;Russia;53.84N;91.36E
1826-06-01;16,256;1,638;Abakan;Russia;53.84N;91.36E
1826-07-01;18,477;1,681;Abakan;Russia;53.84N;91.36E
1826-08-01;14,458;1,616;Abakan;Russia;53.84N;91.36E
1826-09-01;7,569;2,145;Abakan;Russia;53.84N;91.36E
1826-10-01;-0,409;2,313;Abakan;Russia;53.84N;91.36E
1826-11-01;-8,799;2,184;Abakan;Russia;53.84N;91.36E
1826-12-01;-15,879;2,998;Abakan;Russia;53.84N;91.36E
1827-01-01;-19,451;3,136;Abakan;Russia;53.84N;91.36E
1827-02-01;-16,312;2,609;Abakan;Russia;53.84N;91.36E
1827-03-01;-7,142;2,337;Abakan;Russia;53.84N;91.36E
1827-04-01;1,63;3,142;Abakan;Russia;53.84N;91.36E
1827-05-01;10,135;2,684;Abakan;Russia;53.84N;91.36E
1827-06-01;16,684;1,769;Abakan;Russia;53.84N;91.36E
1827-07-01;19,078;1,644;Abakan;Russia;53.84N;91.36E
1827-08-01;15,048;1,552;Abakan;Russia;53.84N;91.36E
1827-09-01;7,493;1,511;Abakan;Russia;53.84N;91.36E
1827-10-01;-0,617;1,816;Abakan;Russia;53.84N;91.36E
1827-11-01;-8,4;2,165;Abakan;Russia;53.84N;91.36E
1827-12-01;-18,343;3,571;Abakan;Russia;53.84N;91.36E
1828-01-01;-23,949;3,346;Abakan;Russia;53.84N;91.36E
1828-02-01;-19,576;3,004;Abakan;Russia;53.84N;91.36E
1828-03-01;-8,623;2,74;Abakan;Russia;53.84N;91.36E
1828-04-01;0,636;2,522;Abakan;Russia;53.84N;91.36E
1828-05-01;8,419;2,234;Abakan;Russia;53.84N;91.36E
1828-06-01;15,792;2,406;Abakan;Russia;53.84N;91.36E
1828-07-01;18,554;2,129;Abakan;Russia;53.84N;91.36E
1828-08-01;15,126;1,809;Abakan;Russia;53.84N;91.36E
1828-09-01;6,823;1,57;Abakan;Russia;53.84N;91.36E
1828-10-01;-0,166;1,999;Abakan;Russia;53.84N;91.36E
1828-11-01;-9,111;2,328;Abakan;Russia;53.84N;91.36E
1828-12-01;-16,931;2,693;Abakan;Russia;53.84N;91.36E
1829-01-01;-21,061;2,512;Abakan;Russia;53.84N;91.36E
1829-02-01;-18,888;3,229;Abakan;Russia;53.84N;91.36E
1829-03-01;-9,389;2,319;Abakan;Russia;53.84N;91.36E
1829-04-01;-0,634;1,911;Abakan;Russia;53.84N;91.36E
1829-05-01;8,71;2,227;Abakan;Russia;53.84N;91.36E
1829-06-01;14,775;2,174;Abakan;Russia;53.84N;91.36E
1829-07-01;18,233;1,865;Abakan;Russia;53.84N;91.36E
1829-08-01;14,513;1,916;Abakan;Russia;53.84N;91.36E
1829-09-01;6,763;1,527;Abakan;Russia;53.84N;91.36E
1829-10-01;-0,125;2,253;Abakan;Russia;53.84N;91.36E
1829-11-01;-8,976;2,588;Abakan;Russia;53.84N;91.36E
1829-12-01;-17,724;3,034;Abakan;Russia;53.84N;91.36E
1830-01-01;-18,735;3,754;Abakan;Russia;53.84N;91.36E
1830-02-01;-15,5;3,444;Abakan;Russia;53.84N;91.36E
1830-03-01;-10,447;2,309;Abakan;Russia;53.84N;91.36E
1830-04-01;0,675;2,064;Abakan;Russia;53.84N;91.36E
1830-05-01;8,083;2,067;Abakan;Russia;53.84N;91.36E
1830-06-01;15,27;2,099;Abakan;Russia;53.84N;91.36E
1830-07-01;19,55;2,391;Abakan;Russia;53.84N;91.36E
1830-08-01;14,241;2,068;Abakan;Russia;53.84N;91.36E
1830-09-01;7,053;1,768;Abakan;Russia;53.84N;91.36E
1830-10-01;-2,25;1,963;Abakan;Russia;53.84N;91.36E
1830-11-01;-7,911;2,623;Abakan;Russia;53.84N;91.36E
1830-12-01;-16,068;2,9;Abakan;Russia;53.84N;91.36E
