dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1845-01-01;24,995;1,871;Angeles;Philippines;15.27N;120.83E
1845-02-01;24,63;2,228;Angeles;Philippines;15.27N;120.83E
1845-03-01;26,512;1,369;Angeles;Philippines;15.27N;120.83E
1845-04-01;;;Angeles;Philippines;15.27N;120.83E
1845-05-01;27,564;1,498;Angeles;Philippines;15.27N;120.83E
1845-06-01;26,819;1,38;Angeles;Philippines;15.27N;120.83E
1845-07-01;26,414;1,306;Angeles;Philippines;15.27N;120.83E
1845-08-01;25,856;1,157;Angeles;Philippines;15.27N;120.83E
1845-09-01;25,289;1,172;Angeles;Philippines;15.27N;120.83E
1845-10-01;24,628;1,225;Angeles;Philippines;15.27N;120.83E
1845-11-01;24,581;1,429;Angeles;Philippines;15.27N;120.83E
1845-12-01;23,316;1,935;Angeles;Philippines;15.27N;120.83E
1846-01-01;25,646;1,782;Angeles;Philippines;15.27N;120.83E
1846-02-01;25,76;1,639;Angeles;Philippines;15.27N;120.83E
1846-03-01;27,86;1,556;Angeles;Philippines;15.27N;120.83E
1846-04-01;27,318;1,42;Angeles;Philippines;15.27N;120.83E
1846-05-01;27,845;1,687;Angeles;Philippines;15.27N;120.83E
1846-06-01;27,626;1,439;Angeles;Philippines;15.27N;120.83E
1846-07-01;26,986;1,507;Angeles;Philippines;15.27N;120.83E
1846-08-01;26,481;1,266;Angeles;Philippines;15.27N;120.83E
1846-09-01;25,883;1,405;Angeles;Philippines;15.27N;120.83E
1846-10-01;25,257;1,256;Angeles;Philippines;15.27N;120.83E
1846-11-01;24,963;1,593;Angeles;Philippines;15.27N;120.83E
1846-12-01;25,33;1,454;Angeles;Philippines;15.27N;120.83E
1847-01-01;24,749;3,85;Angeles;Philippines;15.27N;120.83E
1847-02-01;25,55;1,524;Angeles;Philippines;15.27N;120.83E
1847-03-01;25,977;2,112;Angeles;Philippines;15.27N;120.83E
1847-04-01;27,632;1,396;Angeles;Philippines;15.27N;120.83E
1847-05-01;27,33;1,381;Angeles;Philippines;15.27N;120.83E
1847-06-01;26,613;1,424;Angeles;Philippines;15.27N;120.83E
1847-07-01;26,393;1,541;Angeles;Philippines;15.27N;120.83E
1847-08-01;25,693;1,304;Angeles;Philippines;15.27N;120.83E
1847-09-01;25,835;1,049;Angeles;Philippines;15.27N;120.83E
