dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1743-11-01;3,544;1,764;Bern;Switzerland;47.42N;8.29E
1743-12-01;;;Bern;Switzerland;47.42N;8.29E
1744-01-01;;;Bern;Switzerland;47.42N;8.29E
1744-02-01;;;Bern;Switzerland;47.42N;8.29E
1744-03-01;;;Bern;Switzerland;47.42N;8.29E
1744-04-01;7,459;2,243;Bern;Switzerland;47.42N;8.29E
1744-05-01;9,89;1,604;Bern;Switzerland;47.42N;8.29E
1744-06-01;13,169;1,574;Bern;Switzerland;47.42N;8.29E
1744-07-01;14,98;1,676;Bern;Switzerland;47.42N;8.29E
1744-08-01;;;Bern;Switzerland;47.42N;8.29E
1744-09-01;11,409;1,704;Bern;Switzerland;47.42N;8.29E
1744-10-01;7;1,695;Bern;Switzerland;47.42N;8.29E
1744-11-01;2,672;1,586;Bern;Switzerland;47.42N;8.29E
1744-12-01;-1,09;1,856;Bern;Switzerland;47.42N;8.29E
1745-01-01;-3,423;1,95;Bern;Switzerland;47.42N;8.29E
1745-02-01;-2,163;1,787;Bern;Switzerland;47.42N;8.29E
1745-03-01;1,067;1,504;Bern;Switzerland;47.42N;8.29E
1745-04-01;5,967;1,481;Bern;Switzerland;47.42N;8.29E
1745-05-01;;;Bern;Switzerland;47.42N;8.29E
1745-06-01;;;Bern;Switzerland;47.42N;8.29E
1745-07-01;;;Bern;Switzerland;47.42N;8.29E
1745-08-01;;;Bern;Switzerland;47.42N;8.29E
1745-09-01;;;Bern;Switzerland;47.42N;8.29E
1745-10-01;;;Bern;Switzerland;47.42N;8.29E
1745-11-01;;;Bern;Switzerland;47.42N;8.29E
1745-12-01;;;Bern;Switzerland;47.42N;8.29E
1746-01-01;;;Bern;Switzerland;47.42N;8.29E
1746-02-01;;;Bern;Switzerland;47.42N;8.29E
1746-03-01;;;Bern;Switzerland;47.42N;8.29E
1746-04-01;;;Bern;Switzerland;47.42N;8.29E
1746-05-01;;;Bern;Switzerland;47.42N;8.29E
1746-06-01;;;Bern;Switzerland;47.42N;8.29E
1746-07-01;;;Bern;Switzerland;47.42N;8.29E
1746-08-01;;;Bern;Switzerland;47.42N;8.29E
1746-09-01;;;Bern;Switzerland;47.42N;8.29E
1746-10-01;;;Bern;Switzerland;47.42N;8.29E
1746-11-01;;;Bern;Switzerland;47.42N;8.29E
1746-12-01;;;Bern;Switzerland;47.42N;8.29E
1747-01-01;;;Bern;Switzerland;47.42N;8.29E
1747-02-01;;;Bern;Switzerland;47.42N;8.29E
1747-03-01;;;Bern;Switzerland;47.42N;8.29E
1747-04-01;;;Bern;Switzerland;47.42N;8.29E
1747-05-01;;;Bern;Switzerland;47.42N;8.29E
1747-06-01;;;Bern;Switzerland;47.42N;8.29E
1747-07-01;;;Bern;Switzerland;47.42N;8.29E
1747-08-01;;;Bern;Switzerland;47.42N;8.29E
1747-09-01;;;Bern;Switzerland;47.42N;8.29E
1747-10-01;;;Bern;Switzerland;47.42N;8.29E
1747-11-01;;;Bern;Switzerland;47.42N;8.29E
1747-12-01;;;Bern;Switzerland;47.42N;8.29E
1748-01-01;;;Bern;Switzerland;47.42N;8.29E
1748-02-01;;;Bern;Switzerland;47.42N;8.29E
1748-03-01;;;Bern;Switzerland;47.42N;8.29E
1748-04-01;;;Bern;Switzerland;47.42N;8.29E
1748-05-01;;;Bern;Switzerland;47.42N;8.29E
1748-06-01;;;Bern;Switzerland;47.42N;8.29E
1748-07-01;;;Bern;Switzerland;47.42N;8.29E
1748-08-01;;;Bern;Switzerland;47.42N;8.29E
1748-09-01;;;Bern;Switzerland;47.42N;8.29E
1748-10-01;;;Bern;Switzerland;47.42N;8.29E
1748-11-01;;;Bern;Switzerland;47.42N;8.29E
1748-12-01;;;Bern;Switzerland;47.42N;8.29E
1749-01-01;;;Bern;Switzerland;47.42N;8.29E
1749-02-01;;;Bern;Switzerland;47.42N;8.29E
1749-03-01;;;Bern;Switzerland;47.42N;8.29E
1749-04-01;;;Bern;Switzerland;47.42N;8.29E
1749-05-01;;;Bern;Switzerland;47.42N;8.29E
1749-06-01;;;Bern;Switzerland;47.42N;8.29E
1749-07-01;;;Bern;Switzerland;47.42N;8.29E
1749-08-01;;;Bern;Switzerland;47.42N;8.29E
1749-09-01;;;Bern;Switzerland;47.42N;8.29E
1749-10-01;;;Bern;Switzerland;47.42N;8.29E
1749-11-01;;;Bern;Switzerland;47.42N;8.29E
1749-12-01;;;Bern;Switzerland;47.42N;8.29E
1750-01-01;-2,245;1,628;Bern;Switzerland;47.42N;8.29E
1750-02-01;1,547;2,157;Bern;Switzerland;47.42N;8.29E
1750-03-01;4,793;2,294;Bern;Switzerland;47.42N;8.29E
1750-04-01;6,343;1,403;Bern;Switzerland;47.42N;8.29E
1750-05-01;10,958;1,654;Bern;Switzerland;47.42N;8.29E
1750-06-01;13,985;1,501;Bern;Switzerland;47.42N;8.29E
1750-07-01;17,323;1,5;Bern;Switzerland;47.42N;8.29E
1750-08-01;15,3;1,266;Bern;Switzerland;47.42N;8.29E
