Datum,Differenzierte Zeitreihe
1880-02-01,2.5
1880-03-01,3.2699999999999996
1880-04-01,5.91
1880-05-01,2.299999999999999
1880-06-01,4.6899999999999995
1880-07-01,2.4800000000000004
1880-08-01,-1.0799999999999983
1880-09-01,-2.7300000000000004
1880-10-01,-7.45
1880-11-01,-3.62
1880-12-01,-1.1700000000000004
1881-01-01,-9.07
1881-02-01,5.46
1881-03-01,2.9
1881-04-01,3.1700000000000004
1881-05-01,7.589999999999999
1881-06-01,2.9200000000000017
1881-07-01,3.4299999999999997
1881-08-01,-2.629999999999999
1881-09-01,-3.900000000000002
1881-10-01,-7.31
1881-11-01,0.05999999999999961
1881-12-01,-4.7299999999999995
1882-01-01,0.010000000000000009
1882-02-01,1.4999999999999998
1882-03-01,4.67
1882-04-01,1.2600000000000007
1882-05-01,4.18
1882-06-01,2.6799999999999997
1882-07-01,3.4899999999999984
1882-08-01,-2.4099999999999966
1882-09-01,-1.1800000000000015
1882-10-01,-6.200000000000001
1882-11-01,-4.909999999999999
1882-12-01,-3.6799999999999997
1883-01-01,-1.15
1883-02-01,2.92
1883-03-01,-3.39
1883-04-01,7.13
1883-05-01,7.1000000000000005
1883-06-01,4.339999999999998
1883-07-01,1.0800000000000018
1883-08-01,-1.4000000000000021
1883-09-01,-2.3599999999999977
1883-10-01,-5.270000000000001
1883-11-01,-4.589999999999999
1883-12-01,-3.7300000000000004
1884-01-01,2.08
1884-02-01,0.25
1884-03-01,1.63
1884-04-01,1.0600000000000005
1884-05-01,7.27
1884-06-01,0.9900000000000002
1884-07-01,4.77
1884-08-01,-1.6000000000000014
1884-09-01,-2.1499999999999986
1884-10-01,-6.91
1884-11-01,-6.7299999999999995
1884-12-01,0.3500000000000001
1885-01-01,-4.73
1885-02-01,5.529999999999999
1885-03-01,0.43000000000000016
1885-04-01,6.71
1885-05-01,1.3399999999999999
1885-06-01,6.4300000000000015
1885-07-01,0.6799999999999997
1885-08-01,-3.1000000000000014
1885-09-01,-1.6600000000000001
1885-10-01,-5.49
1885-11-01,-5.779999999999999
1885-12-01,-2.5
1886-01-01,-1.31
1886-02-01,-1.4699999999999998
1886-03-01,3.21
1886-04-01,9.02
1886-05-01,4.110000000000001
1886-06-01,2.1500000000000004
1886-07-01,1.9499999999999993
1886-08-01,0.41000000000000014
1886-09-01,-2.26
1886-10-01,-6.34
1886-11-01,-3.920000000000001
1886-12-01,-4.54
1887-01-01,-4.24
1887-02-01,2.96
1887-03-01,2.44
1887-04-01,5.85
1887-05-01,3.4400000000000013
1887-06-01,4.42
1887-07-01,3.839999999999998
1887-08-01,-2.799999999999997
1887-09-01,-2.960000000000001
1887-10-01,-7.330000000000001
1887-11-01,-2.55
1887-12-01,-4.21
1888-01-01,-1.48
1888-02-01,-0.99
1888-03-01,3.17
1888-04-01,6.069999999999999
1888-05-01,6.510000000000001
1888-06-01,3.589999999999998
1888-07-01,-0.4599999999999973
1888-08-01,0.28999999999999915
1888-09-01,-2.780000000000001
1888-10-01,-6.299999999999999
1888-11-01,-4.220000000000001
1888-12-01,-2.27
1889-01-01,-3.89
1889-02-01,0.9000000000000001
1889-03-01,2.86
1889-04-01,7.11
1889-05-01,9.669999999999998
1889-06-01,2.710000000000001
1889-07-01,-2.6099999999999994
1889-08-01,-0.8900000000000006
1889-09-01,-4.789999999999999
1889-10-01,-3.0600000000000005
1889-11-01,-5.55
1889-12-01,-4.47
1890-01-01,3.0199999999999996
1890-02-01,-4.13
1890-03-01,7.6000000000000005
1890-04-01,2.709999999999999
1890-05-01,6.84
1890-06-01,0.009999999999999787
1890-07-01,2.030000000000001
1890-08-01,1.5199999999999996
1890-09-01,-4.199999999999999
1890-10-01,-6.15
1890-11-01,-4.84
1890-12-01,-8.51
1891-01-01,1.0700000000000003
1891-02-01,4.1
1891-03-01,3.68
1891-04-01,2.16
1891-05-01,8.48
1891-06-01,1.1999999999999993
1891-07-01,2.380000000000001
1891-08-01,-1.2600000000000016
1891-09-01,-1.58
1891-10-01,-4.209999999999999
1891-11-01,-7.68
1891-12-01,-1.0699999999999998
1892-01-01,-4.05
1892-02-01,2.81
1892-03-01,0.5299999999999999
1892-04-01,6.25
1892-05-01,5.079999999999999
1892-06-01,4.000000000000002
1892-07-01,0.6099999999999994
1892-08-01,2.4399999999999977
1892-09-01,-4.4499999999999975
1892-10-01,-7.220000000000001
1892-11-01,-6.01
1892-12-01,-3.46
1893-01-01,-6.76
1893-02-01,9.89
1893-03-01,3.0
1893-04-01,3.76
1893-05-01,4.43
1893-06-01,3.7299999999999986
1893-07-01,2.240000000000002
1893-08-01,-0.870000000000001
1893-09-01,-4.709999999999999
1893-10-01,-2.49
1893-11-01,-8.13
1893-12-01,-1.8099999999999998
1894-01-01,-2.62
1894-02-01,3.9899999999999998
1894-03-01,3.21
1894-04-01,4.910000000000001
1894-05-01,2.039999999999999
1894-06-01,2.92
1894-07-01,4.26
1894-08-01,-2.9400000000000013
1894-09-01,-4.729999999999999
1894-10-01,-3.5700000000000003
1894-11-01,-3.0999999999999996
1894-12-01,-4.65
1895-01-01,-4.109999999999999
1895-02-01,-1.9100000000000001
1895-03-01,7.6
1895-04-01,7.030000000000001
1895-05-01,4.389999999999999
1895-06-01,3.49
1895-07-01,1.7899999999999991
1895-08-01,-0.6400000000000006
1895-09-01,-2.219999999999999
1895-10-01,-8.219999999999999
1895-11-01,-3.12
1895-12-01,-5.17
1896-01-01,-0.52
1896-02-01,1.35
1896-03-01,5.65
1896-04-01,0.79
1896-05-01,4.999999999999999
1896-06-01,6.67
1896-07-01,0.13000000000000256
1896-08-01,-2.41
1896-09-01,-2.330000000000002
1896-10-01,-3.709999999999999
1896-11-01,-8.690000000000001
1896-12-01,-2.15
1897-01-01,-2.48
1897-02-01,3.37
1897-03-01,5.4
1897-04-01,2.51
1897-05-01,3.84
1897-06-01,6.210000000000001
1897-07-01,-0.5700000000000003
1897-08-01,1.3000000000000007
1897-09-01,-5.280000000000001
1897-10-01,-5.819999999999999
1897-11-01,-4.7700000000000005
1897-12-01,-1.3699999999999999
1898-01-01,0.6900000000000002
1898-02-01,-0.41000000000000014
1898-03-01,2.3499999999999996
1898-04-01,3.5200000000000005
1898-05-01,5.22
1898-06-01,3.330000000000002
1898-07-01,-0.9700000000000024
1898-08-01,3.870000000000001
1898-09-01,-4.85
1898-10-01,-6.0
1898-11-01,-3.1000000000000005
1898-12-01,-1.5900000000000003
1899-01-01,-1.5
1899-02-01,0.1900000000000004
1899-03-01,0.9299999999999997
1899-04-01,4.92
1899-05-01,4.24
1899-06-01,2.789999999999999
1899-07-01,3.660000000000002
1899-08-01,-1.2900000000000027
1899-09-01,-4.029999999999999
1899-10-01,-5.059999999999999
1899-11-01,-1.240000000000001
1899-12-01,-10.69
1900-01-01,3.5999999999999996
1900-02-01,0.6699999999999999
1900-03-01,0.3400000000000001
1900-04-01,5.9399999999999995
1900-05-01,4.869999999999999
1900-06-01,5.24
1900-07-01,2.530000000000001
1900-08-01,-1.6999999999999993
1900-09-01,-3.360000000000001
1900-10-01,-5.220000000000001
1900-11-01,-4.369999999999999
1900-12-01,-2.3800000000000003
1901-01-01,-6.949999999999999
1901-02-01,0.48999999999999977
1901-03-01,6.54
1901-04-01,5.770000000000001
1901-05-01,5.469999999999999
1901-06-01,2.6799999999999997
1901-07-01,3.460000000000001
1901-08-01,-2.120000000000001
1901-09-01,-3.9899999999999984
1901-10-01,-3.5700000000000003
1901-11-01,-7.1000000000000005
1901-12-01,-2.49
1902-01-01,2.3200000000000003
1902-02-01,-4.61
1902-03-01,5.06
1902-04-01,3.5400000000000005
1902-05-01,2.7
1902-06-01,6.619999999999999
1902-07-01,-0.030000000000001137
1902-08-01,-0.9699999999999989
1902-09-01,-2.709999999999999
1902-10-01,-5.5600000000000005
1902-11-01,-6.0
1902-12-01,-3.9699999999999998
1903-01-01,2.94
1903-02-01,3.7199999999999998
1903-03-01,2.66
1903-04-01,-0.8099999999999996
1903-05-01,8.07
1903-06-01,2.1400000000000006
1903-07-01,1.9499999999999993
1903-08-01,-1.129999999999999
1903-09-01,-2.4000000000000004
1903-10-01,-4.57
1903-11-01,-5.14
1903-12-01,-5.41
1904-01-01,-0.47
1904-02-01,2.37
1904-03-01,2.26
1904-04-01,5.86
1904-05-01,3.59
1904-06-01,3.3000000000000007
1904-07-01,3.2300000000000004
1904-08-01,-1.6600000000000001
